"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/Admin.java","4","24","Avoid unused imports such as 'java.io.IOException'","Type Resolution Rules","UnusedImports"
"2","(default)","src/Admin.java","4","24","Avoid unused imports such as 'java.io.IOException'","Type Resolution Rules","UnusedImports"
"3","(default)","src/Admin.java","3","29","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"4","(default)","src/Admin.java","3","29","The class 'Admin' has a Cyclomatic Complexity of 7 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"5","(default)","src/Admin.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","(default)","src/Admin.java","3","31","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"7","(default)","src/Admin.java","3","31","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"8","(default)","src/Admin.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"9","(default)","src/Admin.java","3","32","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"10","(default)","src/Admin.java","1","32","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"11","(default)","src/Admin.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"12","(default)","src/Admin.java","3","33","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"13","(default)","src/Admin.java","3","34","Avoid excessively long variable names like AnnouncementCounter","Naming Rules","LongVariable"
"14","(default)","src/Admin.java","3","34","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"15","(default)","src/Admin.java","3","34","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"16","(default)","src/Admin.java","1","34","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"17","(default)","src/Admin.java","3","35","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"18","(default)","src/Admin.java","3","35","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"19","(default)","src/Admin.java","3","36","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"20","(default)","src/Admin.java","3","37","Private field 'Name_TextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"21","(default)","src/Admin.java","1","37","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"22","(default)","src/Admin.java","1","37","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"23","(default)","src/Admin.java","3","38","Private field 'Day_TextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"24","(default)","src/Admin.java","1","38","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"25","(default)","src/Admin.java","3","39","Private field 'Time_TextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"26","(default)","src/Admin.java","3","40","Private field 'Route_TextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"27","(default)","src/Admin.java","3","41","Avoid excessively long variable names like Code_Day_TextField","Naming Rules","LongVariable"
"28","(default)","src/Admin.java","3","44","Avoid excessively long variable names like Send_Announcement_TextField","Naming Rules","LongVariable"
"29","(default)","src/Admin.java","3","45","Avoid excessively long variable names like Announcement_TextArea","Naming Rules","LongVariable"
"30","(default)","src/Admin.java","1","50","Method names should not contain underscores","Naming Rules","MethodNamingConventions"
"31","(default)","src/Admin.java","3","50","Parameter 'Username' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"32","(default)","src/Admin.java","3","60","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"33","(default)","src/Admin.java","3","60","The constructor 'Admin' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"34","(default)","src/Admin.java","3","60","The constructor with 0 parameters has an NCSS line count of 101","Code Size Rules","NcssConstructorCount"
"35","(default)","src/Admin.java","3","72","Local variable 'label' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"36","(default)","src/Admin.java","3","76","Local variable 'lblNewLabel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"37","(default)","src/Admin.java","3","80","Local variable 'separator' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"38","(default)","src/Admin.java","3","84","Local variable 'label_1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"39","(default)","src/Admin.java","3","88","Local variable 'label_2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"40","(default)","src/Admin.java","3","165","Avoid excessively long variable names like Announcement_TextArea_1","Naming Rules","LongVariable"
"41","(default)","src/Admin.java","3","184","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"42","(default)","src/Admin.java","3","191","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"43","(default)","src/Admin.java","3","191","The String literal 'bF2*sC8!' appears 5 times in this file; the first occurrence is on line 191","String and StringBuffer Rules","AvoidDuplicateLiterals"
"44","(default)","src/Admin.java","3","191","The String literal 'jdbc:mysql://sql2.freesqldatabase.com:3306/sql22538' appears 5 times in this file; the first occurrence is on line 191","String and StringBuffer Rules","AvoidDuplicateLiterals"
"45","(default)","src/Admin.java","3","191","The String literal 'sql22538' appears 5 times in this file; the first occurrence is on line 191","String and StringBuffer Rules","AvoidDuplicateLiterals"
"46","(default)","src/Admin.java","3","193","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"47","(default)","src/Admin.java","3","193","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"48","(default)","src/Admin.java","3","200","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"49","(default)","src/Admin.java","3","214","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"50","(default)","src/Admin.java","3","216","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"51","(default)","src/Admin.java","3","230","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"52","(default)","src/Admin.java","3","248","Avoid variables with short names like e","Naming Rules","ShortVariable"
"53","(default)","src/Admin.java","3","248","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"54","(default)","src/Admin.java","3","262","Avoid variables with short names like e","Naming Rules","ShortVariable"
"55","(default)","src/Admin.java","3","262","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"56","(default)","src/Admin.java","2","270","System.out.print is used","Java Logging Rules","SystemPrintln"
"57","(default)","src/Admin.java","3","273","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"58","(default)","src/Admin.java","3","276","Always check the return of one of the navigation method (next,previous,first,last) of a ResultSet.","Basic Rules","CheckResultSet"
"59","(default)","src/Admin.java","3","279","Avoid variables with short names like C","Naming Rules","ShortVariable"
"60","(default)","src/Admin.java","5","279","Found 'DD'-anomaly for variable 'C' (lines '279'-'280').","Controversial Rules","DataflowAnomalyAnalysis"
"61","(default)","src/Admin.java","5","279","Found 'DD'-anomaly for variable 'C' (lines '279'-'280').","Controversial Rules","DataflowAnomalyAnalysis"
