"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/Admin.java","3","28","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"2","(default)","src/Admin.java","3","28","The class 'Admin' has a Cyclomatic Complexity of 7 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"3","(default)","src/Admin.java","3","30","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","(default)","src/Admin.java","3","30","Perhaps 'contentPane' could be replaced by a local variable.","Design Rules","SingularField"
"5","(default)","src/Admin.java","3","30","Private field 'contentPane' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"6","(default)","src/Admin.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"7","(default)","src/Admin.java","3","31","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"8","(default)","src/Admin.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"9","(default)","src/Admin.java","3","32","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"10","(default)","src/Admin.java","3","33","Avoid excessively long variable names like announcementCounter","Naming Rules","LongVariable"
"11","(default)","src/Admin.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"12","(default)","src/Admin.java","3","33","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"13","(default)","src/Admin.java","3","34","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"14","(default)","src/Admin.java","3","34","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"15","(default)","src/Admin.java","3","35","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"16","(default)","src/Admin.java","3","36","Private field 'nameTextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"17","(default)","src/Admin.java","3","37","Private field 'dayTextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"18","(default)","src/Admin.java","3","38","Private field 'timeTextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"19","(default)","src/Admin.java","3","39","Private field 'routeTextField' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"20","(default)","src/Admin.java","3","43","Avoid excessively long variable names like sendAnnouncementTextField","Naming Rules","LongVariable"
"21","(default)","src/Admin.java","3","49","Parameter 'Username' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","(default)","src/Admin.java","3","59","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"23","(default)","src/Admin.java","3","59","The constructor 'Admin' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"24","(default)","src/Admin.java","3","59","The constructor with 0 parameters has an NCSS line count of 101","Code Size Rules","NcssConstructorCount"
"25","(default)","src/Admin.java","3","71","Local variable 'label' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"26","(default)","src/Admin.java","3","75","Local variable 'lblNewLabel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"27","(default)","src/Admin.java","3","79","Local variable 'separator' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"28","(default)","src/Admin.java","3","83","Local variable 'label_1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"29","(default)","src/Admin.java","3","87","Local variable 'label_2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"30","(default)","src/Admin.java","3","164","Avoid excessively long variable names like announcementTextArea1","Naming Rules","LongVariable"
"31","(default)","src/Admin.java","3","183","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"32","(default)","src/Admin.java","3","190","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"33","(default)","src/Admin.java","3","190","The String literal 'bF2*sC8!' appears 5 times in this file; the first occurrence is on line 190","String and StringBuffer Rules","AvoidDuplicateLiterals"
